project_name,buyer_name,seller_name,package_type,equipment_types,component_types,component_count,lead_time_weeks,manufacturer,cost,answer_date
Ronald McDonald House,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units""]",5,4,"[""Krueger""]",6050,2025-03-27
MIT Lincoln Lab - D-480,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Humidifiers""]","[""Humidifiers""]","[""Humidifiers""]",1,4,"[""Condair""]",9400,2025-03-27
Ronald McDonald House,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Electric Unit Heaters""]","["" Finned-Tube Radiation Heaters""]","[""Electric Unit Heaters"","" Finned-Tube Radiation Heaters""]",1,6,"[""Indeeco""]",5980,2025-03-27
Carlyle - C3 Renovation + C1 & C2 Lobby,Structure Tone (NY),Gil Bar Inc (New York),"[""Fan Coil Units""]","[""Fan Coil Units""]","[""Fan Coil Units""]",3,5,"[""Kampmann""]",17200,2025-03-26
JPMC 3203 Hanover (Palo Alto),BCCI Construction,Ascent,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,1,"[""CompuAire""]",50941,2025-03-26
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Radiators""]","[""Security Lighting""]","[""Radiators"",""Security Lighting""]",2,5,"[""Indeeco""]",3050,2025-03-26
"Fisher Brothers - 299 Park Ave, 3rd & 4th Floor",Structure Tone (NY),Gil Bar Inc (New York),"[""Water-Source Heat Pumps""]","[""Self-Contained Air Conditioners"",""Water-Source Unitary Heat Pumps""]","[""Self-Contained Air Conditioners"",""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",3,9,"[""Climate Master""]",32400,2025-03-26
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",3,4,"[""Krueger""]",42200,2025-03-26
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Unit Heaters""]","[""Electric-Resistance Air Coils""]","[""Electric-Resistance Air Coils"",""Unit Heaters""]",1,4,"[""Indeeco""]",1830,2025-03-26
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",4,6,"[""Twin City Fan""]",3400,2025-03-26
"Garfunkel Wild - Garden City, NY",Structure Tone (NY),Gil Bar Inc (New York),"[""Variable Refrigerant Flow Systems""]","[""VRF Indoor Units - Ducted"",""VRF Outdoor Units""]","[""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted"",""VRF Outdoor Units""]",9,12,"[""Samsung""]",61600,2025-03-26
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",6,4,"[""Krueger""]",10220,2025-03-26
Novo Nordisk HQ: Thrive - Heart,Structure Tone (NY),Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",6,6,"[""Trane/Mitsubishi""]",15250,2025-03-25
JPMC 3203 Hanover (Palo Alto),BCCI Construction,Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,4,"[""Twin City Fan""]",3520,2025-03-25
JPMC 3203 Hanover (Palo Alto),BCCI Construction,Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,16,"[""Stulz""]",43500,2025-03-25
JPMC 3203 Hanover (Palo Alto),BCCI Construction,Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",29,4,"[""Krueger""]",20470,2025-03-25
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),Gil Bar Inc (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",1,20,"[""Above Air""]",30500,2025-03-25
JPMC 3203 Hanover (Palo Alto),BCCI Construction,Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Air Terminal Units"",""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Air Terminal Units"",""Diffusers, Registers, and Grilles""]",12,4,"[""Krueger""]",22130,2025-03-25
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Wallace Eannace (New York) ,"[""Hydronic Pumps""]","[""Hydronic Pumps""]","[""Hydronic Pumps""]",5,1,"[""Bell & Gossett""]",64124,2025-03-24
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Wallace Eannace (New York) ,"[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]",2,19,"[""Galletti Manufacturing""]",1048392,2025-03-24
Orlando Health-Lakeland FSED,Layton,Kinsley- Group,"[""Packaged Generator Assemblies""]","[""Packaged Generator Assemblies""]","[""Packaged Generator Assemblies""]",1,45,"[""Rehlko""]",655805,2025-03-24
Carlyle - C3 Renovation + C1 & C2 Lobby,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Fan Coil Units""]","[""Fan Coil Units""]","[""Fan Coil Units""]",3,12,"[""Jaga""]",26210,2025-03-24
Orlando Health-Lakeland FSED,Layton,Kinsley- Group,"[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]",4,21,"[""ASCO""]",75022,2025-03-24
TJX - 770 Renovations (DD BUDGET) ,Structure Tone (NY),Trane (Long Island City),"[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]",2,13,"[""Trane""]",14713,2025-03-21
Verizon - North Seattle MSC Project,Abbott,Mechanical Technologies LLC (New York),"[""Hydronic Pumps""]","[""Hydronic Pumps""]","[""Hydronic Pumps""]",4,8,"[""Patterson""]",34750,2025-03-21
Verizon - North Seattle MSC Project,Abbott,Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles"",""Wall Registers and Grilles""]","[""Diffusers, Registers, and Grilles"",""Wall Registers and Grilles""]",7,4,"[""Krueger""]",4120,2025-03-21
TJX - 770 Renovations (DD BUDGET) ,Structure Tone (NY),Trane (Long Island City),"[""Energy Recovery Units""]","[""Air-to-Air Energy Recovery Equipment""]","[""Air-to-Air Energy Recovery Equipment"",""Energy Recovery Units""]",6,21,"[""Trane""]",1519618,2025-03-21
"Garfunkel Wild - Garden City, NY",Structure Tone (NY),Trane (Long Island City),"[""Variable Refrigerant Flow Systems""]","[""VRF Indoor Units - Ducted"",""VRF Outdoor Units""]","[""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted"",""VRF Outdoor Units""]",9,5,"[""Trane/Mitsubishi""]",65000,2025-03-20
Carlyle - C3 Renovation + C1 & C2 Lobby,Structure Tone (NY),Trane (Long Island City),"[""Split System Air Conditioners""]","[""Fan Coil Units"",""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted""]","[""Fan Coil Units"",""Split System Air Conditioners"",""Variable Refrigerant Flow Systems"",""VRF Indoor Units - Ducted""]",4,5,"[""Trane/Mitsubishi""]",15500,2025-03-20
"Garfunkel Wild - Garden City, NY",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]",2,4,"[""Pottorff""]",800,2025-03-20
"Garfunkel Wild - Garden City, NY",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Coils""]","[""Air Coils""]","[""Air Coils""]",2,6,"[""Indeeco""]",3610,2025-03-20
320 Park Ave. Flagstar Private Bank Ground & Second Floor ,Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",4,15,"[""Bosch - Florida Heat Pump""]",29341.81,2025-03-20
"Garfunkel Wild - Garden City, NY",Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",33,4,"[""Krueger""]",12570,2025-03-20
Yeshiva University Dental School- Phase 1  Fitout,Structure Tone (NY),Trane (Long Island City),"[""Water-Source Heat Pumps""]","[""Water-Source Unitary Heat Pumps""]","[""Water-Source Heat Pumps"",""Water-Source Unitary Heat Pumps""]",9,11,"[""Trane""]",170000,2025-03-19
Yeshiva University Dental School- Phase 1  Fitout,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",3,9,"[""Vertiv""]",89000,2025-03-19
Yeshiva University Dental School- Phase 1  Fitout,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",12,5,"[""Twin City Fan""]",9130,2025-03-18
Antares Capital - 280 Park Avenue,Structure Tone (NY),Gil Bar Inc (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,17,"[""Above Air""]",29400,2025-03-18
Antares Capital - 280 Park Avenue,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Single-Duct VAV Terminal Units"",""Variable-Air-Volume Terminal Units""]","[""Single-Duct VAV Terminal Units"",""Variable-Air-Volume Terminal Units""]",7,4,"[""Krueger""]",4080,2025-03-18
Yeshiva University Dental School- Phase 1  Fitout,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]",15,4,"[""Krueger""]",37170,2025-03-18
Yeshiva University Dental School- Phase 1  Fitout,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]","[""Fan-Powered VAV Terminal Units""]",15,5,"[""Metalaire""]",206500,2025-03-18
Yeshiva University Dental School- Phase 1  Fitout,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Steam-To-Water Heat Exchangers""]","[""Steam-To-Water Heat Exchangers""]","[""Steam-To-Water Heat Exchangers""]",3,10,"[""Patterson""]",13360,2025-03-18
Yeshiva University Dental School- Phase 1  Fitout,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",12,8,"[""Loren Cook""]",21600,2025-03-18
Yeshiva University Dental School- Phase 1  Fitout,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Steam-To-Water Heat Exchangers""]","[""Steam-To-Water Heat Exchangers""]","[""Steam-To-Water Heat Exchangers""]",3,8,"[""Armstrong""]",31500,2025-03-18
Yeshiva University Dental School- Phase 1  Fitout,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Hydronic Pumps""]","[""In-Line Centrifugal Hydronic Pumps""]","[""Hydronic Pumps"",""In-Line Centrifugal Hydronic Pumps""]",3,10,"[""Armstrong""]",31500,2025-03-18
TJX - 770 Renovations (DD BUDGET) ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Unit Heaters""]","[""Electric Unit Heaters"",""Radiant-Heating Electric Panels""]","[""Electric Unit Heaters"",""Radiant-Heating Electric Panels"",""Unit Heaters""]",4,4,"[""Indeeco""]",3440,2025-03-17
TJX - 770 Renovations (DD BUDGET) ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",31,4,"[""Krueger""]",360330,2025-03-17
TJX - 770 Renovations (DD BUDGET) ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,4,"[""Twin City Fan""]",4570,2025-03-17
TJX - 770 Renovations (DD BUDGET) ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Hydronic Piping Specialties ""]","[""Hydronic Piping Specialties ""]","[""Hydronic Piping Specialties ""]",6,5,"[""Patterson""]",45480,2025-03-17
TJX - 770 Renovations (DD BUDGET) ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Hydronic Pumps""]","[""Hydronic Pumps"",""In-Line Centrifugal Hydronic Pumps""]","[""Hydronic Pumps"",""In-Line Centrifugal Hydronic Pumps""]",3,8,"[""Patterson""]",150880,2025-03-17
Vineyard Utah County HCI Phase 1A - Schematic Budget,Layton,SPX Cooling Technologies,"[""Cooling Towers""]","[""Cooling Towers""]","[""Cooling Towers""]",3,15,"[""Marley""]",528675,2025-03-14
Vineyard Utah County HCI Phase 1A - Schematic Budget,Layton,H.O. Penn,"[""Engine Generators""]","[""Electrical Load Bank"",""Engine Generators""]","[""Electrical Load Bank"",""Engine Generators""]",3,1,"[""Caterpillar""]",2266637,2025-03-14
Vineyard Utah County HCI Phase 1A - Schematic Budget,Layton,H.O. Penn,"[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]",11,37,"[""ASCO""]",635294,2025-03-14
601W Companies -Harborside Co-Working Space,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units""]","[""Air Terminal Units"",""Variable-Air-Volume Terminal Units""]",22,4,"[""Krueger""]",17300,2025-03-13
Vineyard Utah County HCI Phase 1A - Schematic Budget,Layton,Kinsley- Group,"[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]",11,40,"[""ASCO""]",358847,2025-03-13
Vineyard Utah County HCI Phase 1A - Schematic Budget,Layton,Kinsley- Group,"[""Engine Generators""]","[""Electrical Load Bank"",""Engine Generators""]","[""Electrical Load Bank"",""Engine Generators""]",3,70,"[""Kohler""]",2612120,2025-03-13
601W Companies -Harborside Co-Working Space,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Fan-Powered VAV Terminal Units""]","[""Packaged Terminal Air Conditioners""]","[""Fan-Powered VAV Terminal Units"",""Packaged Terminal Air Conditioners""]",20,4,"[""Krueger""]",28550,2025-03-13
Novo Nordisk HQ: Thrive - Heart,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,4,"[""Twin City Fan""]",3560,2025-03-13
Novo Nordisk HQ: Thrive - Heart,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Ceiling Diffusers"",""Diffusers, Registers, and Grilles""]","[""Ceiling Diffusers"",""Diffusers, Registers, and Grilles""]",11,4,"[""Krueger""]",16330,2025-03-13
Novo Nordisk HQ: Thrive - Heart,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]",4,4,"[""Krueger""]",7660,2025-03-13
Antares Capital - 280 Park Avenue,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,9,"[""Vertiv""]",43500,2025-03-13
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Gil Bar Inc (New York),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",24,12,"[""Samsung""]",605700,2025-03-12
Wells Fargo- Floors 5 & 6 Fitout,Structure Tone (NY),Gil Bar Inc (New York),"[""Fan Coil Units""]","[""Fan Coil Units""]","[""Fan Coil Units""]",7,10,"[""IEC""]",79600,2025-03-12
Wells Fargo- Floors 5 & 6 Fitout,Structure Tone (NY),Gil Bar Inc (New York),"[""Hot Water Unit Heaters""]","[""Radiant Heating Units""]","[""Hot Water Unit Heaters"",""Radiant Heating Units""]",1,8,"[""Kampmann""]",0,2025-03-12
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Gil Bar Inc (New York),"[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]",2,12,"[""York""]",0,2025-03-12
TJX - 770 Renovations (DD BUDGET) ,Structure Tone (NY),DNT Enterprises (New York),"[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]","[""Water-Source Heat Pumps""]",2,14,"[""Bosch""]",17528.88,2025-03-11
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Kinsley- Group,"[""Diesel-Engine-Driven Generator Sets""]","[""Diesel-Engine-Driven Generator Sets""]","[""Diesel-Engine-Driven Generator Sets""]",1,40,"[""Rehlko""]",829073,2025-03-11
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Cooper Electric,"[""Diesel-Engine-Driven Generator Sets""]","[""Diesel-Engine-Driven Generator Sets""]","[""Diesel-Engine-Driven Generator Sets""]",1,33,"[""Kohler""]",615000,2025-03-11
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,H.O. Penn,"[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]",6,17,"[""ASCO""]",49574,2025-03-11
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,H.O. Penn,"[""Diesel-Engine-Driven Generator Sets""]","[""Diesel-Engine-Driven Generator Sets""]","[""Diesel-Engine-Driven Generator Sets""]",1,33,"[""Caterpillar""]",483380,2025-03-11
Carlyle- 25th floor ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",1,4,"[""Twin City Fan""]",1230,2025-03-11
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]","[""Diffusers, Registers, and Grilles""]",5,4,"[""Krueger""]",40760,2025-03-11
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",12,8,"[""Twin City Fan""]",1039360,2025-03-11
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Mechanical Technologies LLC (New York),"[""Electric Unit Heaters""]","[""Cabinet Unit Heaters"",""Unit Heaters""]","[""Cabinet Unit Heaters"",""Electric Unit Heaters"",""Unit Heaters""]",24,6,"[""Indeeco""]",93520,2025-03-11
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Kinsley- Group,"[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]","[""Automatic Transfer Switches""]",6,2,"[""ASCO""]",142038,2025-03-11
Wells Fargo- Floors 5 & 6 Fitout,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans"",""Kitchen Hoods""]","[""Centrifugal HVAC Fans"",""HVAC Fans"",""Kitchen Hoods""]",9,6,"[""Twin City Fan""]",84670,2025-03-10
451D-MA-UPS & CRAC Replacement,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",3,10,"[""Vertiv""]",164730,2025-03-10
451D-MA-UPS & CRAC Replacement,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""Centrifugal HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",1,6,"[""Twin City Fan""]",6650,2025-03-10
451D-MA-UPS & CRAC Replacement,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""Centrifugal HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",1,10,"[""Loren Cook""]",4700,2025-03-10
Wells Fargo- Floors 5 & 6 Fitout,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Plate-Type, Liquid-to-Liquid Heat Exchangers""]","[""Plate-Type, Liquid-to-Liquid Heat Exchangers""]","[""Plate-Type, Liquid-to-Liquid Heat Exchangers""]",1,10,"[""Alfa Laval""]",15000,2025-03-07
Wells Fargo- Floors 5 & 6 Fitout,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans"",""Kitchen Hoods""]","[""Centrifugal HVAC Fans"",""HVAC Fans"",""Kitchen Hoods""]",9,10,"[""Loren Cook""]",64700,2025-03-07
Wells Fargo- Floors 5 & 6 Fitout,Structure Tone (NY),Daikin Applied (New York),"[""Fan Coil Units""]","[""Fan Coil Units""]","[""Fan Coil Units""]",7,8,"[""Daikin""]",97000,2025-03-05
K&E PHL 1 Commerce Server Room ROM - UPS Lead Time,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",5,4,"[""Twin City Fan""]",10680,2025-03-05
LIC Warehouse 38-21 12TH St - DD,Pavarini McGovern,Daikin Applied (New York),"[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]",2,-1,"[""Chillmaster""]",377450,2025-03-05
Intealth,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]","[""Variable-Air-Volume Terminal Units""]",51,4,"[""Krueger""]",52300,2025-03-03
Intealth,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles""]",5,4,"[""Krueger""]",75480,2025-03-03
Intealth,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",5,6,"[""Twin City Fan""]",28400,2025-03-03
Intealth,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Electric Unit Heaters""]","[""Electric Unit Heaters""]","[""Electric Unit Heaters""]",2,5,"[""Indeeco""]",6860,2025-03-03
FS Investments ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Fan-Powered VAV Terminal Units"",""Single-Duct VAV Terminal Units"",""Variable-Air-Volume Terminal Units""]","[""Air Terminal Units"",""Fan-Powered VAV Terminal Units"",""Single-Duct VAV Terminal Units"",""Variable-Air-Volume Terminal Units""]",85,4,"[""Krueger""]",253590,2025-02-28
15 Central Park West- Amenity Space ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans""]","[""HVAC Fans""]",2,5,"[""Twin City Fan""]",6140,2025-02-28
FS Investments ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Diffusers, Registers, and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles"",""Wall Registers and Grilles""]","[""Air Outlets and Inlets"",""Diffusers, Registers, and Grilles"",""Wall Registers and Grilles""]",12,4,"[""Krueger""]",262960,2025-02-28
Bulletin Building - Food Service Hall - IFC Bid/Update,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Curtains""]","[""Air Curtains""]","[""Air Curtains""]",1,5,"[""Powered Aire""]",4570,2025-02-28
15 Central Park West- Amenity Space ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Outlets and Inlets""]","[""Air Terminal Units""]","[""Air Outlets and Inlets"",""Air Terminal Units""]",4,4,"[""Krueger""]",17170,2025-02-28
FS Investments ,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",4,4,"[""Twin City Fan""]",18480,2025-02-28
Bulletin Building - Food Service Hall - IFC Bid/Update,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""HVAC Fans""]","[""HVAC Fans"",""Kitchen Hoods""]","[""HVAC Fans"",""Kitchen Hoods""]",3,5,"[""Twin City Fan""]",5190,2025-02-28
Bulletin Building - Food Service Hall - IFC Bid/Update,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Terminal Units""]","[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Air Terminal Units""]",9,4,"[""Krueger""]",10370,2025-02-28
15 Central Park West- Amenity Space ,Structure Tone (NY),Gil Bar Inc (New York),"[""Fan Coil Units""]","[""Fan Coil Units""]","[""Fan Coil Units""]",7,10,"[""IEC""]",56200,2025-02-28
FS Investments ,Structure Tone (NY),Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",10,17,"[""Stulz""]",199550,2025-02-27
FS Investments ,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]","[""Centrifugal HVAC Fans"",""HVAC Fans""]",4,6,"[""Loren Cook""]",10500,2025-02-25
850 3rd Ave HPS Investment Partners Project,Structure Tone (NY),Gil Bar Inc (New York),"[""Packaged, Outdoor, Heating-Only Makeup-Air Units""]","[""Central HVAC Equipment""]","[""Central HVAC Equipment"",""Packaged, Outdoor, Heating-Only Makeup-Air Units""]",1,24,"[""Mammoth""]",0,2025-02-25
Katherine's Restaurant,Structure Tone (NY),Mechanical Technologies LLC (New York),"[""Air Outlets and Inlets""]","[""Air Outlets and Inlets"",""Air Terminal Units""]","[""Air Outlets and Inlets"",""Air Terminal Units""]",14,4,"[""Krueger/ Pottorff""]",20110,2025-02-25
850 3rd Ave HPS Investment Partners Project,Structure Tone (NY),Gil Bar Inc (New York),"[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]","[""Air-Cooled Scroll Water Chillers""]",1,10,"[""York""]",6984600,2025-02-25
850 3rd Ave HPS Investment Partners Project,Structure Tone (NY),Gil Bar Inc (New York),"[""Custom Heating and Ventilating Makeup-Air Units""]","[""Central HVAC Equipment""]","[""Central HVAC Equipment"",""Custom Heating and Ventilating Makeup-Air Units""]",2,24,"[""Mammoth""]",0,2025-02-25
FS Investments ,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Hydronic Pumps""]","[""In-Line Centrifugal Hydronic Pumps"",""Vertical-Mounted, Double-Suction Centrifugal Hydronic Pumps""]","[""Hydronic Pumps"",""In-Line Centrifugal Hydronic Pumps"",""Vertical-Mounted, Double-Suction Centrifugal Hydronic Pumps""]",5,3,"[""Armstrong""]",11500,2025-02-25
850 3rd Ave HPS Investment Partners Project,Structure Tone (NY),Gil Bar Inc (New York),"[""Decentralized Unitary HVAC Equipment""]","[""Decentralized Unitary HVAC Equipment""]","[""Decentralized Unitary HVAC Equipment""]",1,24,"[""Mammoth""]",0,2025-02-25
